Designator,Mid X,Mid Y,Rotation,Layer
BAR1,27.429496,4.793507,90.0,top
SW2,38.8025,59.09,180.0,top
C1,22.21,13.44,180.0,top
J1,43.7525,58.9125,0.0,top
RV1,32.215,39.145,180.0,top
SW1,12.9505,6.7165,0.0,top
J3,40.01,50.57,-90.0,top
SW3,27.005,45.7175,-90.0,top
D0,38.99,45.97,180.0,top
J4,47.485,44.39,-90.0,top
R1,50.182,30.848,180.0,top
U1,47.886,25.514,-90.0,top
J2,19.06,57.63,0.0,top
J0,13.265,12.05,90.0,top
RV2,43.095,39.085,180.0,top
